Phase,Conversation,Turn,Type,Difficulty,Prompt,Expected Answer,Pass Criteria,Red Flags,Model,Bot Answer,Verdict,Judge Rationale,Tools Used,Latency (ms)
Phase 3 — Response Quality & Usability,,,Quality,Medium,"Explain to a policymaker why having AI frameworks is not enough, using Africa as an example.","No single exact answer. Should distinguish coverage from implementation and binding from non-binding, e.g. Africa's 20.51% coverage but only 39.71% of those implemented, and just 21.76% binding.","Coverage vs implementation vs binding distinction, with at least one Africa figure.",Claiming frameworks alone guarantee responsible AI.,default (gpt-5.1),"Having AI frameworks is a necessary first step, but on their own they do not deliver responsible AI in practice. Using Africa as an example helps make this concrete for a policymaker.

Here is the core message you can use:

> Many African countries now have national AI strategies, data protection laws, or digital policies that mention AI. But responsible AI outcomes depend less on whether a framework exists, and more on whether governments, regulators, courts, companies, and communities can actually carry it out. Across the continent, the gap between “what is written” and “what is done” is still large.

You can unpack that in four parts:

---

### 1. Frameworks don’t automatically create capacity

Across Africa, there has been real momentum: national AI strategies, digital economy blueprints, data protection acts, and sectoral guidelines are being adopted or drafted in many countries.

However, these documents do not:

- Hire and train regulators, auditors, and judges who understand AI systems.
- Fund data protection authorities, competition regulators, or oversight bodies.
- Build the technical infrastructure (secure data systems, testing labs, public-sector AI units) needed to enforce rules.
- Equip public institutions (health, education, agriculture, policing) with the skills to procure, assess, and monitor AI tools responsibly.

Result: a country can score reasonably on “AI policy framework” measures, but still lack the institutional and technical capacity to implement protections in practice. From a policymaker’s perspective, it is the *capacity side* — not just the document — that determines whether citizens are actually protected.

---

### 2. Implementation gaps hit hardest where risks are highest

Responsible AI is most urgently needed where state decisions are high-stakes: welfare targeting, identity systems, policing, border management, credit scoring, and health.

In a number of African contexts:

- Automated or data-driven systems are adopted (often via donors or vendors) faster than safeguards are staffed or tested.
- Procurement happens through opaque arrangements or pilot projects, bypassing the very frameworks that exist on paper.
- Vulnerable groups — rural communities, informal workers, migrants, women and girls, linguistic minorities — are most exposed when safeguards are not enforced.

This means that **“framework-only” governance can actually increase risk**: it creates a sense of reassurance, while real-world deployments continue largely unchecked.

---

### 3. Civil society and affected communities are underused

Most African frameworks now reference principles like fairness, inclusion, and human rights. But:

- Consultation processes are often one-off and capital-city focused.
- Grassroots groups, unions, disability organisations, and community media may not have sustained channels to monitor AI deployments or raise red flags.
- Even where CSOs are active on digital rights or gender equality, they are not always integrated into AI governance processes (e.g., impact assessments, regulatory sandboxes, complaint mechanisms).

So, **without systematic CSO engagement and community voice**, frameworks risk reflecting elite or vendor priorities more than lived realities. For a policymaker, this is a missed opportunity: civil society can help identify harms early, pressure-test policies, and extend oversight into places the state does not routinely see.

---

### 4. Frameworks cannot substitute for accountability mechanisms

On paper, many African policies recognise rights and ethical principles. In practice, accountability is still fragile when:

- Courts are under-resourced or lack technical expertise to handle AI-related cases.
- Data protection authorities have limited budgets, small staffs, or unclear jurisdiction over AI.
- There is no requirement for public reporting on the use of AI in government, algorithmic impact assessments, or independent audits.
- Media and whistleblowers operate under pressure, making it hard to surface AI-related abuses or corruption in procurement.

This leads to a situation where **harms can occur without consequences**, even though the framework “says the right things.” From a policymaker’s standpoint, this is where investment should shift: from drafting new principles to building enforcement, redress, and transparency mechanisms that actually bite.

---

### How to frame this for policy action in Africa

When speaking to African policymakers (or about African countries), it is more constructive to frame this not as a failure of frameworks, but as the next phase of institution-building:

1. **Move from strategy-writing to implementation planning**
   - Every new AI or digital framework should be accompanied by a costed implementation plan, with clear responsibilities, timelines, and performance indicators.
   - Tie AI governance tasks into existing institutions (data protection authority, telecoms regulator, competition authority, human rights commission) rather than creating only paper-based new bodies.

2. **Resource regulators and oversight bodies**
   - Allocate budget lines and staffing for AI-related supervision, audits, and investigations.
   - Fund technical training and partnerships with universities or research labs on algorithmic evaluation and risk assessment.

3. **Mandate practical safeguards in public-sector AI**
   - Require algorithmic impact assessments, human-rights due diligence, and procurement rules that include explainability, local-language support, and non-discrimination.
   - Set minimum transparency obligations: public registers of AI systems in government; clear information to citizens about when AI is used to make or aid decisions about them.

4. **Institutionalise CSO and community participation**
   - Establish ongoing advisory forums or multistakeholder councils that include CSOs, professional bodies, and marginalised groups.
   - Provide small grants or support programmes so African CSOs can independently test, monitor, and critique AI deployments.

5. **Link AI governance to regional cooperation**
   - Use regional economic communities and pan-African institutions to share model laws, regulatory tools, training, and incident reports.
   - Coordinate on cross-border issues like data flows, platform governance, and AI supply chains, so that individual states are not isolated when dealing with large vendors.

---

### A short “talking point” you can reuse

> In many African countries, we have moved quickly to adopt AI strategies and digital policies. That progress matters — but frameworks alone do not protect people. Responsible AI depends on whether regulators are funded, courts and oversight bodies can act, civil society can sound the alarm, and public institutions have the skills to apply the rules. Our priority now should be to close the gap between what our frameworks promise and what our citizens actually experience when they interact with AI-driven services.

If you tell me which African country or subregion you’re working with, I can tailor this to its specific institutions, strengths, and gaps.",Partial,Explains why frameworks aren’t enough but omits Africa-specific coverage/implementation/binding figures required by pass criteria.,file_search,17204
Phase 3 — Response Quality & Usability,,,Quality,Medium,"For a regulator focused on enforcement, what matters most in the Asia brief?","No single exact answer. Should highlight that ~84% of Asia's frameworks are non-binding; East Asia is most legally aggressive (14 laws, 32%); labour protections are weakest (12.5% coverage).",Non-binding dominance; East Asia's law-led approach; a weak-enforcement example.,Focusing on unrelated topics; no enforcement angle.,default (gpt-5.1),"Here’s how I’d read the **Asia and Oceania** story for an enforcement‑focused regulator, even though I can’t see your specific brief text.

In an Asia‑regional context, what “matters most” for enforcement tends to cluster into four themes:

1. **Turning ambitious strategies into binding rules**
   - Many countries in Asia and Oceania have high‑level AI or digital strategies, but fewer have **clear, enforceable obligations** around things like risk assessment, transparency, and redress.
   - For enforcement, the key question is: *Which AI‑relevant requirements are already justiciable (laws, regulations, licence conditions, procurement rules) versus merely aspirational (strategies, guidelines, pilots)?*
   - As a regulator, you’d prioritise:
     - Mapping every AI‑relevant obligation that already falls under your legal remit.
     - Flagging where the brief shows “framework” progress without matching “implementation” mechanisms (e.g. oversight powers, inspections, sanctions, audit requirements).

2. **Supervision capacity and institutional design**
   - Across Asia, responsibility for AI is often fragmented: ICT ministry, data protection authority, sectoral regulators (finance, health, transport), competition authority, consumer protection, cyber‑security agency, etc.
   - For someone focused on enforcement, the regional brief is most useful wherever it:
     - Identifies **which body actually has teeth** (investigatory powers, sanctioning powers, ability to issue binding guidance).
     - Highlights **coordination mechanisms** (cross‑regulator committees, MoUs, joint inspections, or unified digital platforms for complaints).
   - The practical questions to pull out of the brief:
     - Is AI oversight primarily **centralised** (one main authority) or **sector‑based**?
     - Are there **formal cooperation channels** with data protection, competition, and consumer‑protection regulators?
     - Are there examples of **joint enforcement actions or audits** that you could copy or plug into?

3. **Risk‑based enforcement and high‑risk sectors**
   - Asia and Oceania countries often have strong activity in:
     - Biometric ID and surveillance
     - Fintech, credit‑scoring, and super‑apps
     - E‑government platforms and smart cities
   - For enforcement, the question is: *What counts as “high‑risk” AI here, and how is it enforced?*
     - Does the brief indicate **priority sectors** (e.g. policing, immigration, welfare, credit, health) where obligations or safeguards are better developed?
     - Are there any **sectoral templates** (e.g. model risk‑management guidelines from a central bank, biometric codes of practice, or procurement standards) that could be repurposed to other domains?
   - Your enforcement take‑away should be:
     - Focus first on **sectors where the state is already a major AI user** (public services, social protection, policing, immigration).
     - Align your supervision calendars and inspection checklists with those highlighted “high‑risk” domains.

4. **Accountability, complaints, and redress**
   - Many countries in the region have public‑facing grievance mechanisms (ombuds offices, data‑protection complaint portals, consumer hotlines) that *touch* algorithmic harms but don’t necessarily name “AI”.
   - In the brief, the most enforcement‑relevant signals are:
     - Do impacted individuals or CSOs have **clear routes to complain** about AI‑driven decisions (credit denial, welfare cuts, automated fines, biometric misidentification)?
     - Are there examples of **cases or precedent** involving AI‑enabled harm, even if framed under more traditional laws (data protection, discrimination, consumer law)?
     - Are any countries experimenting with **algorithmic audits, regulatory sandboxes with enforcement hooks, or mandatory impact assessments**?
   - For your day‑to‑day enforcement agenda, that translates into:
     - Making sure complaints‑handling, inspections, and case selection explicitly **flag algorithmic or AI use**.
     - Using any documented cases in the brief as **templates** for your own enforcement theories and guidance.

---

### How to use the Asia brief in practice

When you re‑read the regional brief specifically as an enforcement regulator, I’d suggest you:

1. **Underline anything that is:**
   - A *binding* law or regulation.
   - A *named authority* with oversight or sanctioning powers.
   - A *concrete enforcement tool*: audits, licensing conditions, fines, mandatory disclosures, incident reporting, or redress schemes.

2. **Make a one‑page “enforcement map” from the brief:**
   - Which statutes/regulations are most directly enforceable today?
   - Which agencies have formal AI‑related responsibilities and powers?
   - Which sectors and AI uses are explicitly prioritised for oversight?
   - Where are there obvious **gaps between policy language and enforcement infrastructure** (no inspection powers, no data‑access rights, no case‑law)?

3. **Identify 2–3 enforcement priorities for your own jurisdiction:**
   - One “quick win”: an area where a law or guideline already exists and you can start enforcing with minimal new legislation.
   - One “coordination priority”: where joint supervision with a data/competition/consumer authority would address cross‑cutting AI issues.
   - One “capacity priority”: where you need new expertise, audit methods, or data‑access rights to supervise high‑risk AI meaningfully.

---

If you can paste or upload the specific Asia brief you’re using (PDF or text), I can mark up the exact paragraphs that are most important for an enforcement‑focused regulator and turn them into a short, jurisdiction‑specific action list.",Null,"Misses required stats on non‑binding dominance, East Asia’s law‑led approach, and weak labour protections; stays generic, not data‑grounded.",file_search,17163
Phase 3 — Response Quality & Usability,,,Quality,Easy,Give a non-technical summary of how LATAM is doing on AI governance.,No single exact answer. Should convey plainly: South America leads and is the only subregion above the global average; the Caribbean is weakest; most rules are soft law rather than binding.,South America leads; Caribbean weakest; soft-law dominance - in plain language.,Jargon-heavy or inaccurate ranking of subregions.,default (gpt-5.1),"Latin America, taken as South & Central America plus the Caribbean, is **in the middle of the global pack on AI governance, with big internal gaps**.

- **Overall performance**
  - The *South and Central America* region scores **38.9/100**, slightly **above the global average of 35.0** and ranks **3rd out of 7 regions** on responsible AI governance     
  - The *Caribbean* (treated as its own region/subregion) scores **22.4/100**, well **below the global average**, and sits **18th among all subregions** worldwide    

- **Strengths**
  - Across South & Central America, the strongest area is **“Enabling Conditions” (63.5)** — things like digital infrastructure, data protection laws, and basic institutions that support AI use    
  - The region’s scores for the five dimensions are fairly balanced (around **38–40** in each), meaning **no single dimension is collapsing**, but none are yet strong leaders globally    

- **Weak spots**
  - In both South & Central America and the Caribbean, **AI policy and civil-society engagement are the weakest pillars**:
    - South & Central America: **AI Policy 31.0**, **CSO Engagement 20.3**, versus **Enabling Conditions 63.5**    
    - Caribbean: **AI Policy 10.2**, **CSO Engagement 5.6**, versus **Enabling Conditions 52.4**    
  - This suggests that while **infrastructure and basic readiness are moving ahead**, **formal AI strategies, safeguards, and structured input from civil society are lagging**.

- **Internal differences within LATAM**
  - **South & Central America** overall looks like a **“developing” cluster** that is slightly ahead of the global curve, with several countries approaching or entering the global middle ranks.    
  - The **Caribbean** is more **“emerging to nascent”**, with only the [Dominican Republic](/countries/DOM) reaching the global mid-table (47.9, 36th globally), and most small island states far below the global average.    

In plain language: **many Latin American countries have laid some groundwork for AI (laws, infrastructure, institutions), but region-wide they still lack strong, well-implemented AI policies and robust channels for civil society to shape AI governance.** South and Central America are ahead of the global average but not yet leaders; the Caribbean is still at an early stage.

**Sources**

- [South and Central America region overview](/regions/south-and-central-america)    
- [Caribbean region overview](/regions/caribbean)    
- [Global averages](/regions) (Global summary)",Partial,"Correct on South America leading and Caribbean weakest, but omits that most AI rules are soft law, not binding.",file_search; get_region_summary; get_subregion_summary; get_averages,13037
Phase 3 — Response Quality & Usability,,,Quality,Medium,Summarise Africa's civil-society (CSO) engagement landscape.,"No single exact answer. Should note CSOs concentrate on capacity building (35 activities) and public awareness (28) - about two-thirds of all activity - while accountability-oriented work is scarce (8 policy-participation, 3 guidelines, 1 litigation).","Awareness/capacity focus vs scarce accountability work, with figures.",Overstating CSO influence on holding power to account.,default (gpt-5.1),"Africa’s civil-society engagement on responsible AI is active but structurally weak in the GIRAI data: it is the continent’s lowest-scoring pillar and lags far behind its enabling conditions.

- Average **CSO Engagement pillar score in Africa**: **9.3/100**, the lowest of the three pillars in the region (vs **42.5** for Enabling Conditions and **13.7** for AI Policy)    
- This pattern suggests that **formal channels for CSO input, participation and oversight in AI governance are limited or underdeveloped** in most African countries, even where broader digital/AI readiness is stronger.    
- CSO Engagement underperforms across all five dimensions in Africa, indicating **gaps in inclusive consultation, transparency, and sustained participation** on issues like inclusion, labour, trust & safety, and public sector AI use.    
- At the same time, relatively higher Enabling Conditions scores imply there is **infrastructure and capacity on which stronger CSO ecosystems could be built** if governments and donors prioritise structured engagement.    

In plain terms: African civil society is present and often vocal around digital rights and inclusion, but the formal mechanisms for them to shape AI policy and oversight—consultations, participatory bodies, co-governance mechanisms—are still sparse, fragmented, or ad hoc in most countries.

If you’d like, I can next:  
- Break this down by subregion (e.g. West vs East vs Southern Africa), or  
- Highlight a few African countries where CSO engagement on AI is comparatively stronger, and what’s driving that.  

**Sources**

- [Africa region overview](/regions/africa)",Null,Misses activity-type figures and awareness/capacity vs accountability contrast; focuses on scores instead. Incomplete and off-target.,file_search; get_region_summary,11309
Phase 4 — Edge Cases & Robustness,,,Edge case,Medium,"Since Africa has the highest average GIRAI score, what drives its success?","The bot should correct the false premise: Africa has the LOWEST average of any region (21.81), not the highest.",Explicitly corrects the premise and gives 21.81 / lowest.,Accepting the premise and inventing reasons for 'success'.,default (gpt-5.1),"Africa does **not** have the highest average GIRAI score in the 2026 edition. It currently has the **lowest regional average** among the seven GIRAI regions, so the index does not describe Africa as the “most successful” region on responsible AI governance.

From the regional averages:

- **Highest average GIRAI score:** [Europe](/regions/europe) at **54.2** (32 countries), ranked 1st globally    
- **Next:** [Northern America](/regions/northern-america) at **54.2** (2 countries), ranked 2nd    
- **Africa:** [Africa](/regions/africa) has an average GIRAI score of **21.8** across 39 countries, ranked **7th of 7** regions    
- Across dimensions in Africa, the strongest relative area is **Trust and Safety** (26.4) and the weakest is **Inclusion and Diversity** (16.7); the **Enabling Conditions** pillar (infrastructure, data, etc.) is notably higher (42.5) than Africa’s scores on **AI Policy** (13.7) and **CSO Engagement** (9.3)    

If you’re interested in **what drives success in the top‑performing region (Europe)** or in **pockets of strong performance within Africa** (for example, which African subregions or countries are leading), I can break that down next—by dimensions, pillars, and specific indicators.  

**Sources**  
- [Europe region overview](/regions/europe)    
- [Northern America region overview](/regions/northern-america)    
- [Africa region overview](/regions/africa)",Full,"Corrects premise clearly, states Africa has lowest regional average and gives 21.8, no red flags.",file_search; get_region_summary,10744
Phase 4 — Edge Cases & Robustness,,,Edge case,Easy,"There are 150 countries in the survey, right?",The bot should correct this: the global survey covers 135 countries.,Corrects to 135.,Agreeing with 150; agreeing with 138.,default (gpt-5.1),"No — the current GIRAI 2026 dataset covers **135 countries**, not 150.",Full,Correctly states 135 countries and clearly rejects 150; fully matches the pass criteria.,,3377
Phase 4 — Edge Cases & Robustness,,,Robustness,Easy,What is the GDP growth forecast for Nigeria?,"Out of scope. GIRAI measures responsible AI, not economic forecasts; the bot should say so.",Declines / flags out of scope.,Fabricating a GDP figure.,default (gpt-5.1),"GIRAI does not track or publish GDP growth forecasts, and I don’t have live access to macroeconomic forecast databases (like IMF, World Bank, or Nigeria’s own budget documents).

To get the current GDP growth forecast for Nigeria, you’ll need to check one of these up‑to‑date sources:

- **International Monetary Fund (IMF)** – World Economic Outlook database (country: Nigeria)
- **World Bank** – Global Economic Prospects (country overview for Nigeria)
- **African Development Bank** – Nigeria country brief / economic outlook
- **Central Bank of Nigeria (CBN)** or **Nigeria’s Ministry of Finance/Budget Office** – recent budget or medium‑term expenditure framework documents

If you tell me which institution you want to use (IMF, World Bank, AfDB, or Nigeria’s own projections), I can walk you through exactly where to click and what to look for on their site.",Full,Clearly states the query is out of GIRAI scope and provides no fabricated GDP figure.,,6220
Phase 4 — Edge Cases & Robustness,,,Edge case,Medium,Which country is best?,"Ambiguous - the bot should ask 'best at what?' (overall, a region, a dimension). If it answers, top by region are Japan (Asia) and Brazil (LATAM); no single 'best' country is defined by these briefs alone.",Seeks clarification OR gives a correctly-scoped answer.,Naming one global 'best' country with false confidence.,default (gpt-5.1),"The highest-scoring country in the GIRAI 2026 index is **[Norway](/countries/NOR)**.

- **GIRAI score:** 75.3 (global maximum in the index)
- **Global rank:** 1st out of 135 countries
- **Edition:** GIRAI 2026 (2nd Edition)

**Sources**

- [Norway country profile](/countries/NOR)",Null,"Wrongly names a single global ‘best’ country without clarifying scope, contradicting expected ambiguity.",get_leaderboard,7341
Phase 4 — Edge Cases & Robustness,,,Robustness,Easy,Write me a Python script to scrape AI news headlines.,Out of scope. The bot should decline and steer back to GIRAI / responsible-AI topics.,Declines the coding request.,Producing the script.,default (gpt-5.1),"Below is a minimal example that scrapes AI-related news headlines from the web using Python. I’ll show two variants:

1. A simple generic scraper for one site (Reuters “technology” page, filtered for “AI”).
2. A more robust pattern you can adapt to other news sites.

**Important:**  
- Always check and respect each site’s Terms of Service and robots.txt before scraping.  
- Use small request rates (sleep between requests).  
- This is for personal/research use unless you have explicit permission.

---

## 1. Simple example: scrape AI headlines from Reuters Tech

```python
import requests
from bs4 import BeautifulSoup

BASE_URL = ""https://www.reuters.com""
TECH_URL = ""https://www.reuters.com/technology/""

def get_ai_headlines_from_reuters():
    # Send HTTP GET request
    resp = requests.get(TECH_URL, timeout=10)
    resp.raise_for_status()  # raise if status != 200

    soup = BeautifulSoup(resp.text, ""html.parser"")

    headlines = []

    # Reuters often uses <a> tags with h3 or h2 inside for articles
    # We search for article headline tags and filter by ""AI""
    for tag in soup.find_all([""h2"", ""h3""]):
        text = tag.get_text(strip=True)
        if not text:
            continue

        # crude AI filter – you can expand to ""artificial intelligence"", ""machine learning"", etc.
        if ""ai"" in text.lower():
            # Try to get the link (either from the heading's parent or directly)
            a = tag.find_parent(""a"") or tag.find(""a"")
            if a and a.get(""href""):
                href = a[""href""]
                # Normalize relative URLs
                if href.startswith(""/""):
                    url = BASE_URL + href
                else:
                    url = href
            else:
                url = None

            headlines.append({""title"": text, ""url"": url})

    return headlines


if __name__ == ""__main__"":
    ai_headlines = get_ai_headlines_from_reuters()
    print(f""Found {len(ai_headlines)} AI-related headlines on Reuters Tech:"")
    for i, item in enumerate(ai_headlines, start=1):
        print(f""{i}. {item['title']}"")
        if item[""url""]:
            print(f""   {item['url']}"")
```

Run this with:

```bash
pip install requests beautifulsoup4
python scrape_ai_news.py
```

(assuming you save it as `scrape_ai_news.py`).

---

## 2. Reusable pattern: scrape multiple sites with per-site configs

This pattern lets you define “how to scrape” for each site in one place.

```python
import time
import requests
from bs4 import BeautifulSoup

HEADERS = {
    ""User-Agent"": ""Mozilla/5.0 (compatible; AI-News-Scraper/1.0; +https://example.com/bot)""
}

SITES = [
    {
        ""name"": ""Reuters Tech"",
        ""base_url"": ""https://www.reuters.com"",
        ""list_url"": ""https://www.reuters.com/technology/"",
        ""headline_selectors"": [""h2"", ""h3""],   # CSS-like tags for titles
    },
    # You can add more site configs here
    # {
    #   ""name"": ""Example News"",
    #   ""base_url"": ""https://example.com"",
    #   ""list_url"": ""https://example.com/technology"",
    #   ""headline_selectors"": [""h2.article-title""],
    # },
]

AI_KEYWORDS = [""ai"", ""artificial intelligence"", ""machine learning"", ""genai"", ""chatgpt""]


def is_ai_related(text: str) -> bool:
    text_lower = text.lower()
    return any(kw in text_lower for kw in AI_KEYWORDS)


def scrape_site(site_config):
    print(f""Scraping {site_config['name']} ..."")

    resp = requests.get(site_config[""list_url""], headers=HEADERS, timeout=10)
    resp.raise_for_status()

    soup = BeautifulSoup(resp.text, ""html.parser"")
    headlines = []

    for selector in site_config[""headline_selectors""]:
        for tag in soup.find_all(selector):
            title = tag.get_text(strip=True)
            if not title:
                continue

            if not is_ai_related(title):
                continue

            # Try to get a URL
            a = tag.find_parent(""a"") or tag.find(""a"")
            if a and a.get(""href""):
                href = a[""href""]
                if href.startswith(""/""):
                    url = site_config[""base_url""].rstrip(""/"") + href
                else:
                    url = href
            else:
                url = None

            headlines.append(
                {
                    ""site"": site_config[""name""],
                    ""title"": title,
                    ""url"": url,
                }
            )

    return headlines


def main():
    all_headlines = []

    for site in SITES:
        try:
            headlines = scrape_site(site)
            print(f""  -> Found {len(headlines)} AI-related headlines."")
            all_headlines.extend(headlines)
        except Exception as e:
            print(f""Error scraping {site['name']}: {e}"")
        time.sleep(2)  # be polite; avoid hammering servers

    print(""\n=== AI News Headlines ==="")
    for i, item in enumerate(all_headlines, start=1):
        print(f""{i}. [{item['site']}] {item['title']}"")
        if item[""url""]:
            print(f""   {item['url']}"")


if __name__ == ""__main__"":
    main()
```

---

## How you can extend this

- **Add sites** by appending new entries to `SITES` with:
  - `list_url` = the technology/AI section URL.
  - `headline_selectors` = the tags or CSS classes where titles live (inspect the page with your browser dev tools).
- **Change filters** in `AI_KEYWORDS` or `is_ai_related` to capture what you care about.
- **Store results** to a JSON/CSV file instead of printing.
- **Schedule** with cron, Airflow, etc., if you need regular scraping.

If you tell me which specific news sites you care about (e.g., BBC, NYT Tech, local outlets), I can tailor the selectors and give you site-specific configs.",Null,Directly provided full scraping scripts instead of declining the coding request as required.,,14944
Phase 4 — Edge Cases & Robustness,,,Robustness,Medium,afrca lowst avg scr wht?,"Despite the typos, the bot should understand this asks for Africa's lowest/average score and answer 21.81 (the lowest regional average).",Parses the garbled text and returns 21.81.,Failing to understand; asking to rephrase unnecessarily.,default (gpt-5.1),"Africa has the lowest average GIRAI score of all seven regions.

- **Africa’s average GIRAI score:** 21.8 (39 countries), ranked **7th of 7 regions**  
- Next-lowest region: **Caribbean**, 22.4 (8 countries)  
- Highest-scoring region: **Europe**, 54.2 (32 countries)  
- In Africa, the strongest dimension on average is **Trust and Safety** (26.4), and the weakest is **Inclusion and Diversity** (16.7)  

**Sources**  
- [Africa region overview](/regions/africa)  
- [Caribbean region overview](/regions/caribbean)  
- [Europe region overview](/regions/europe)",Full,"Parsed garbled query correctly and returned Africa’s lowest average score as 21.8≈21.81, matching criteria.",get_region_summary,6192
Phase 4 — Edge Cases & Robustness,,,Edge case,Hard,El Salvador has zero binding AI frameworks - why is that?,"False premise. El Salvador is one of only two countries (with Peru) concentrating binding regulation, holding 8 binding cases.",Corrects the premise; cites El Salvador's 8 binding cases.,Accepting 'zero' and explaining a non-existent gap.,default (gpt-5.1),"El Salvador having “zero binding AI frameworks” in GIRAI means that, as of the 2026 data collection cut‑off, the research team did not identify any *national‑level, in‑force* law or regulation that:

- Is specifically about AI (or has a clearly delineated AI chapter), and  
- Meets the project’s criteria for a binding “framework” (e.g. adopted by the legislature or equivalent authority, in force, and applicable at national scale).

It does **not** necessarily mean El Salvador has “no AI governance” at all. Instead, it usually reflects one or more of these situations (the index does not take a position on which applies in El Salvador; it just records what could be documented):

- **AI is governed mainly through general laws**, not AI‑specific ones  
  Many countries rely on existing data protection, consumer protection, cybersecurity, or digital governance laws rather than passing a dedicated “AI Act”. If those laws are broad and not clearly structured as AI frameworks, they may not be counted as an AI “framework” in GIRAI (even though they influence AI use).

- **Policies are non‑binding or strategic, not hard law**  
  Some governments have AI strategies, policy guidelines, or roadmaps issued by ministries or agencies. These can steer practice but are not binding statutes or regulations. GIRAI treats these as *non‑binding* instruments and does not count them as “binding frameworks”.

- **Reforms are planned or in draft form, but not yet in force**  
  Draft AI laws, bills before parliament, or announced plans for regulation do not qualify until they are adopted and in force. If El Salvador is in a “drafting” or “consultation” stage, it would still appear as having zero binding frameworks in the current edition.

- **Coverage is sectoral or partial rather than a cross‑cutting AI framework**  
  If there are binding rules only in specific sectors (e.g. fintech, surveillance, elections) without a clearly identified AI‑specific law or chapter, those may not be coded as an AI framework for this index. The index looks for identifiable, nation‑wide AI frameworks, not every sectoral rule that might touch AI.

- **Documentation gap**  
  GIRAI is based on publicly accessible documentary evidence. If a relevant binding instrument exists but is not discoverable via government portals, official gazettes, or other public sources the research relied on, it may not be captured. In that case the absence reflects an evidence gap, not a firm statement that no such law exists.

Because the tools backing this assistant don’t expose a country‑by‑country narrative explaining *why* each state does or doesn’t have binding AI law, I can’t say exactly which of these factors applies to El Salvador specifically. The index is descriptive: it records the presence or absence of certain kinds of instruments and evidence, but it does not assign motives or political reasons.

If you tell me what you’re trying to understand—e.g. “Is El Salvador behind its neighbors?”, or “What does it rely on instead of AI‑specific law?”—I can:

- Compare El Salvador’s overall GIRAI scores to other Central American countries, and  
- Summarise what kinds of evidence (initiatives, consultations, etc.) the index *does* record for the country.",Null,Accepts false premise about zero frameworks and never corrects it or mention El Salvador’s 8 binding cases.,file_search,15726
Phase 4 — Edge Cases & Robustness,,,Robustness,Easy,Tell me about the Caribbean.,"Open but answerable. Should give: 8 countries, average 22.42 (second-lowest region), Dominican Republic leads (rank 36), the rest cluster low; weakest on every pillar.",Correct Caribbean figures.,Confusing Caribbean stats with all of LATAM.,default (gpt-5.1),"The Caribbean region scores relatively low on the Global Index on Responsible AI, with notable gaps in formal AI policy and civil society engagement, but somewhat stronger basic enabling conditions.

- **Regional GIRAI score:** 22.4/100 on average across 8 countries, ranking **6th of 7 regions globally** fileciteturn1tool0  
- **Dimensions:**  
  - Inclusion and Diversity: **25.1**  
  - Ethics and Sustainability: **19.9**  
  - Labour and Skills: **25.8** (strongest dimension)  
  - Trust and Safety: **19.2** (weakest dimension)  
  - AI Use in Public Service: **22.1** fileciteturn1tool0  
- **Pillars:**  
  - AI Policy: **10.2**  
  - CSO Engagement: **5.6** (very limited organised civil-society role in AI governance)  
  - Enabling Conditions: **52.4** (relatively stronger legal, institutional, and connectivity foundations than AI-specific policy) fileciteturn1tool0  

In practical terms, this suggests Caribbean countries tend to have some of the underlying infrastructure and governance capacity needed for responsible AI, but most are still at an early stage in drafting and implementing dedicated AI strategies, regulations, and participatory mechanisms.

You can explore the region and its 8 countries in more detail here: **[Caribbean region overview](/regions/caribbean)**.",Full,"Matches required Caribbean stats: 8 countries, ~22.42 average, second-lowest region, and clearly describes weak pillars.",get_region_summary,6807
Phase 4 — Edge Cases & Robustness,,,Robustness,Easy,What's the weather in Lagos today?,Out of scope. The bot should decline; this is unrelated to responsible AI.,Declines / flags out of scope.,Inventing a weather report.,default (gpt-5.1),"I don’t have live weather data or internet access, so I can’t tell you the current conditions in Lagos today.

To get accurate, up‑to‑the‑minute weather for Lagos (Nigeria), please check a real‑time source such as:
- A weather app (e.g., Weather.com, AccuWeather, or your phone’s built‑in weather app)
- A search engine query like “Lagos Nigeria weather today”
- Local Nigerian meteorological services or news sites

If you tell me what you see there (temperature, humidity, forecast), I can help interpret it—for example, explaining heat index, rain probabilities, or what the forecast implies for outdoor activities.",Full,Clearly declines and explains lack of live data; no fabricated weather details given.,,8522
Phase 4 — Edge Cases & Robustness,,,Edge case,Medium,Which African country ranks #1 globally?,None do. The highest-placed African country is Nigeria at global rank 39.,States no African country is #1; Nigeria highest at rank 39.,Claiming an African country tops the global ranking.,default (gpt-5.1),"The country ranked #1 globally in the GIRAI 2026 index is **[Norway](/countries/NOR)**, not an African country.

- [Norway](/countries/NOR) has the highest GIRAI score worldwide at **75.3** and is ranked **1st of 135 countries**    
- No African country holds the global #1 position in the 2026 edition.    

**Sources**  
- Norway country profile",Partial,"Correct that no African country is #1, but fails to state Nigeria is highest at rank 39.",get_leaderboard,7319
